method,tasks,success,wrong,premature,tools_per_step,tokens,steps
all_tools,408,0.8284313725490197,1.2524509803921569,0.02696078431372549,100.0,24569.38480392157,3.1004901960784315
keyword_top_5,408,0.6078431372549019,2.357843137254902,0.029411764705882353,5.0,4407.232843137255,3.909313725490196
keyword_top_10,408,0.7205882352941176,1.9338235294117647,0.06372549019607843,10.0,5039.323529411765,3.4730392156862746
state_aware,408,0.6544117647058824,1.9754901960784315,0.0,5.731617647058823,4354.031862745098,3.855392156862745
full_causal_path,408,0.9852941176470589,0.029411764705882353,0.014705882352941176,1.9031862745098038,2554.906862745098,2.7426470588235294
cmtf,408,0.9852941176470589,0.014705882352941176,0.0,1.0,2404.9656862745096,2.7598039215686274
