model,method,tasks,success,wrong,premature,tools_per_step,tokens,steps
us.amazon.nova-2-lite-v1:0,all_tools,102,1.0,1.0980392156862746,0.10784313725490197,100.0,14954.43137254902,2.215686274509804
us.amazon.nova-2-lite-v1:0,keyword_top_5,102,0.9215686274509803,1.1372549019607843,0.09803921568627451,5.0,3621.127450980392,2.7450980392156863
us.amazon.nova-2-lite-v1:0,keyword_top_10,102,1.0,0.9019607843137255,0.14705882352941177,10.0,3624.127450980392,2.284313725490196
us.amazon.nova-2-lite-v1:0,state_aware,102,0.7647058823529411,1.6470588235294117,0.0,5.5702614379084965,4704.931372549019,3.6176470588235294
us.amazon.nova-2-lite-v1:0,full_causal_path,102,1.0,0.058823529411764705,0.058823529411764705,1.9166666666666667,3119.5196078431372,2.715686274509804
us.amazon.nova-2-lite-v1:0,cmtf,102,1.0,0.0,0.0,1.0,3054.392156862745,2.7745098039215685
us.amazon.nova-2-pro-preview-20251202-v1:0,all_tools,102,0.8333333333333334,1.1568627450980393,0.0,100.0,22702.49019607843,3.3627450980392157
us.amazon.nova-2-pro-preview-20251202-v1:0,keyword_top_5,102,0.5490196078431373,2.715686274509804,0.0196078431372549,5.0,5623.725490196079,4.264705882352941
us.amazon.nova-2-pro-preview-20251202-v1:0,keyword_top_10,102,0.7254901960784313,2.0980392156862746,0.10784313725490197,10.0,5623.21568627451,3.5392156862745097
us.amazon.nova-2-pro-preview-20251202-v1:0,state_aware,102,0.6568627450980392,1.9019607843137254,0.0,5.921568627450981,5099.8725490196075,3.8529411764705883
us.amazon.nova-2-pro-preview-20251202-v1:0,full_causal_path,102,1.0,0.0,0.0,1.8872549019607843,3188.049019607843,2.7745098039215685
us.amazon.nova-2-pro-preview-20251202-v1:0,cmtf,102,1.0,0.0,0.0,1.0,3057.7549019607845,2.7745098039215685
us.anthropic.claude-3-5-haiku-20241022-v1:0,all_tools,102,0.4803921568627451,2.6176470588235294,0.0,100.0,35762.333333333336,4.03921568627451
us.anthropic.claude-3-5-haiku-20241022-v1:0,keyword_top_5,102,0.37254901960784315,3.3627450980392157,0.0,5.0,4228.813725490196,4.46078431372549
us.anthropic.claude-3-5-haiku-20241022-v1:0,keyword_top_10,102,0.3235294117647059,3.656862745098039,0.0,10.0,6146.696078431372,4.637254901960785
us.anthropic.claude-3-5-haiku-20241022-v1:0,state_aware,102,0.3431372549019608,3.4215686274509802,0.0,5.598039215686274,4300.274509803921,4.6568627450980395
us.anthropic.claude-3-5-haiku-20241022-v1:0,full_causal_path,102,0.9411764705882353,0.058823529411764705,0.0,1.9215686274509804,1893.2745098039215,2.7058823529411766
us.anthropic.claude-3-5-haiku-20241022-v1:0,cmtf,102,0.9411764705882353,0.058823529411764705,0.0,1.0,1689.1764705882354,2.715686274509804
us.anthropic.claude-sonnet-4-20250514-v1:0,all_tools,102,1.0,0.13725490196078433,0.0,100.0,24858.28431372549,2.784313725490196
us.anthropic.claude-sonnet-4-20250514-v1:0,keyword_top_5,102,0.5882352941176471,2.215686274509804,0.0,5.0,4155.264705882353,4.166666666666667
us.anthropic.claude-sonnet-4-20250514-v1:0,keyword_top_10,102,0.8333333333333334,1.0784313725490196,0.0,10.0,4763.254901960784,3.4313725490196076
us.anthropic.claude-sonnet-4-20250514-v1:0,state_aware,102,0.8529411764705882,0.9313725490196079,0.0,5.836601307189543,3311.049019607843,3.2941176470588234
us.anthropic.claude-sonnet-4-20250514-v1:0,full_causal_path,102,1.0,0.0,0.0,1.8872549019607843,2018.7843137254902,2.7745098039215685
us.anthropic.claude-sonnet-4-20250514-v1:0,cmtf,102,1.0,0.0,0.0,1.0,1818.5392156862745,2.7745098039215685
